,Data,Dias a partir do 1o caso,Município,Confirmados acum.,Confirmados acum./100k hab.,Óbitos acum.,obitos/100k
0,2020-03-25,30,São Paulo,722,5.8929,44,0.35699125176710667
1,2020-03-26,31,São Paulo,899,7.337560000000001,53,0.43001218962856036
2,2020-03-27,32,São Paulo,1044,8.52104,62,0.5030331274900139
3,2020-03-28,33,São Paulo,1044,8.52104,62,0.5030331274900139
4,2020-03-29,34,São Paulo,1044,8.52104,62,0.5030331274900139
5,2020-03-30,35,São Paulo,1233,10.06364,103,0.8356840666366361
6,2020-03-31,36,São Paulo,1885,15.38521,121,0.9817259423595434
7,2020-04-01,37,São Paulo,2418,19.73552,144,1.1683350057832582
8,2020-04-02,38,São Paulo,2815,22.9758,164,1.3306037565864886
9,2020-04-03,39,São Paulo,3202,26.13446,186,1.509099382470042
10,2020-04-04,40,São Paulo,3496,28.534059999999997,212,1.7200487585142414
11,2020-04-05,41,São Paulo,3612,29.48085,220,1.7849562588355334
12,2020-04-06,42,São Paulo,3754,30.639840000000003,244,1.9796787597994099
13,2020-04-07,43,São Paulo,4258,34.753440000000005,296,2.4015775118878087
14,2020-04-08,44,São Paulo,4947,40.37701,339,2.750455326114754
15,2020-04-09,45,São Paulo,5477,44.70282,384,3.115560015422022
16,2020-04-10,46,São Paulo,5982,48.82459,409,3.31839595392606
17,2020-04-11,47,São Paulo,6131,50.04072,422,3.42387064194816
18,2020-04-12,48,São Paulo,6352,51.8445,445,3.610479705371875
19,2020-04-13,49,São Paulo,6418,52.38319,456,3.699727518313651
20,2020-04-14,50,São Paulo,6705,54.72566,512,4.154080020562696
21,2020-04-15,51,São Paulo,7764,63.369130000000006,558,4.527298147410126
22,2020-04-16,52,São Paulo,7908,64.54444000000001,603,4.892402836717394
23,2020-04-17,53,São Paulo,8744,71.36780999999999,643,5.216940338323855
24,2020-04-18,54,São Paulo,9428,76.95056,686,5.5658181525508
25,2020-04-19,55,São Paulo,9668,78.90942,700,5.679406278113061
26,2020-04-20,56,São Paulo,9815,80.10922,715,5.801107841215484
27,2020-04-21,57,São Paulo,10342,84.41055,753,6.109418467741622
28,2020-04-22,58,São Paulo,10691,87.25905999999999,778,6.31225440624566
29,2020-04-23,59,São Paulo,11225,91.61752,912,7.399455036627302
30,2020-04-24,60,São Paulo,11800,96.31063,1010,8.194571915563131
31,2020-04-25,61,São Paulo,13098,106.90478999999999,1099,8.916667856637504
32,2020-04-26,62,São Paulo,13513,110.29198999999998,1114,9.03836941973993
33,2020-04-27,63,São Paulo,13989,114.17706000000001,1172,9.508948797069298
34,2020-04-28,64,São Paulo,15397,125.66904,1321,10.717850990553362
35,2020-04-29,65,São Paulo,16638,135.79798,1439,11.67523662029242
36,2020-04-30,66,São Paulo,18149,148.13064,1522,12.348651936125828
37,2020-05-01,67,São Paulo,19087,155.78652,1607,13.038294127039556
38,2020-05-02,68,São Paulo,19494,159.10842,1661,13.476419754208278
39,2020-05-03,69,São Paulo,19822,161.78553,1673,13.573781004690215
40,2020-05-04,70,São Paulo,20073,163.83417,1683,13.65491538009183
41,2020-05-05,71,São Paulo,21140,172.54293,1801,14.612301009830889
42,2020-05-06,72,São Paulo,23187,189.25038,1910,15.496665701708494
43,2020-05-07,73,São Paulo,24273,198.11422,1986,16.11328695476077
44,2020-05-08,74,São Paulo,25367,207.04336,2110,17.119353209740797
45,2020-05-09,75,São Paulo,26787,218.63327999999998,2223,18.03617165177905
46,2020-05-10,76,São Paulo,27307,222.87748,2266,18.385049466005995
47,2020-05-11,77,São Paulo,27771,226.66461,2281,18.50675102910842
48,2020-05-12,78,São Paulo,28682,234.10012000000003,2405,19.512817284088445
49,2020-05-13,79,São Paulo,30402,248.13861,2494,20.23491322516282
50,2020-05-14,80,São Paulo,31873,260.14479,2596,21.062483854259295
51,2020-05-15,81,São Paulo,33992,277.4399,2674,21.69533198239189
52,2020-05-16,82,São Paulo,35429,289.16857000000005,2792,22.652717612130953
53,2020-05-17,83,São Paulo,35931,293.26585,2835,23.001595426357895
54,2020-05-18,84,São Paulo,36188,295.36347,2856,23.17197761470129
55,2020-05-19,85,São Paulo,37640,307.21457000000004,3029,24.575602309149232
56,2020-05-20,86,São Paulo,39466,322.11823,3135,25.43562668840635
57,2020-05-21,87,São Paulo,41451,338.31964,3238,26.271310755042986
58,2020-05-22,88,São Paulo,42973,350.74208,3352,27.196242634621402
59,2020-05-23,89,São Paulo,44887,366.36399,3491,28.324010452703853
60,2020-05-24,90,São Paulo,45527,371.58761,3534,28.672888266930798
61,2020-05-25,91,São Paulo,46204,377.11323,3555,28.843270455274187
62,2020-05-26,92,São Paulo,47554,388.13182,3691,29.946697960736156
63,2020-05-27,93,São Paulo,49264,402.0887,3826,31.042012028657958
64,2020-05-28,94,São Paulo,52719,430.28812,3958,32.11298578395928
65,2020-05-29,95,São Paulo,55741,454.95344000000006,4116,33.3949089153048
66,2020-05-30,96,São Paulo,58619,478.44344,4239,34.39286173274467
67,2020-05-31,97,São Paulo,60131,490.78425999999996,4280,34.72551267189129
68,2020-06-01,98,São Paulo,61126,498.90536,4304,34.920235172855165
69,2020-06-02,99,São Paulo,64443,525.9784400000001,4443,36.04800299093761
70,2020-06-03,100,São Paulo,66777,545.0283599999999,4564,37.02972893329716
71,2020-06-04,101,São Paulo,69347,566.00449,4675,37.930320500255085
72,2020-06-05,102,São Paulo,71453,583.19349,4805,38.98506738047608
73,2020-06-06,103,São Paulo,73861,602.8473799999999,4901,39.76395738433159
74,2020-06-07,104,São Paulo,74796,610.47878,4920,39.91811269759466
75,2020-06-08,105,São Paulo,75699,617.8489900000001,4937,40.0560411357774
76,2020-06-09,106,São Paulo,78026,636.84177,5073,41.15946864123937
77,2020-06-10,107,São Paulo,80457,656.68339,5232,42.44950521012505
78,2020-06-11,108,São Paulo,83076,678.05945,5357,43.46368490264524
79,2020-06-12,109,São Paulo,85622,698.83969,5480,44.46163772008511
80,2020-06-13,110,São Paulo,88025,718.45278,5599,45.427136787364326
81,2020-06-14,111,São Paulo,91198,744.35055,5623,45.6218592883282
82,2020-06-15,112,São Paulo,93448,762.7148599999999,5652,45.85714897699289
83,2020-06-16,113,São Paulo,97676,797.22345,5819,47.21209304619986
84,2020-06-17,114,São Paulo,98132,800.94528,5959,48.347974301822475
85,2020-06-18,115,São Paulo,98530,804.19372,6097,49.46762868236476
86,2020-06-19,116,São Paulo,105407,860.3232300000001,6255,50.74955181371028
87,2020-06-20,117,São Paulo,105591,861.8250199999999,6371,51.69071056836901
88,2020-06-21,118,São Paulo,106540,869.57068,6387,51.8205255690116
89,2020-06-22,119,São Paulo,107731,879.2915300000001,6404,51.95845400719435
90,2020-06-23,120,São Paulo,110214,899.5575699999999,6583,53.410759326883266
91,2020-06-24,121,São Paulo,113261,924.4269300000001,6675,54.157195580578126
92,2020-06-25,122,São Paulo,117311,957.48269,6794,55.12269464785734
93,2020-06-26,123,São Paulo,121163,988.9224,6880,55.82045027631123
94,2020-06-27,124,São Paulo,122759,1001.94882,6982,56.648020905407705
95,2020-06-28,125,São Paulo,124105,1012.93476,7003,56.818403093751094
96,2020-06-29,126,São Paulo,125012,1020.3376199999999,7026,57.00501215717481
97,2020-06-30,127,São Paulo,127119,1037.5347800000002,7162,58.108439662636776
98,2020-07-01,128,São Paulo,129328,1055.56446,7258,58.887329666492285
99,2020-07-02,129,São Paulo,134984,1101.7282599999999,7370,59.79603467099037
100,2020-07-03,130,São Paulo,137074,1118.78667,7479,60.68039936286798
101,2020-07-04,131,São Paulo,137762,1124.4020699999999,7597,61.63778499260704
102,2020-07-05,132,São Paulo,139871,1141.61555,7621,61.83250749357091
103,2020-07-06,133,São Paulo,140231,1144.55384,7634,61.93798218159301
104,2020-07-07,134,São Paulo,142502,1163.08956,7743,62.822346873470615
105,2020-07-08,135,São Paulo,144573,1179.99289,7864,63.80407281583017
106,2020-07-09,136,São Paulo,146739,1197.6716,7964,64.61541656984632
107,2020-07-10,137,São Paulo,149431,1219.6434800000002,8089,65.6295962623665
108,2020-07-11,138,São Paulo,151365,1235.42863,8176,66.33546532836056
109,2020-07-12,139,São Paulo,152806,1247.18995,8212,66.62754907980637
110,2020-07-13,140,São Paulo,154013,1257.04139,8231,66.78170439306943
111,2020-07-14,141,São Paulo,158802,1296.12881,8336,67.6336153347864
112,2020-07-15,142,São Paulo,160326,1308.56757,8451,68.56666065190498
113,2020-07-16,143,São Paulo,162242,1324.20581,8585,69.65386128228661
114,2020-07-17,144,São Paulo,163624,1335.48558,8696,70.55445284924454
115,2020-07-18,145,São Paulo,165094,1347.4836,8770,71.1548472272165
116,2020-07-19,146,São Paulo,166073,1355.4741099999999,8778,71.21975472753778
117,2020-07-20,147,São Paulo,166348,1357.71864,8799,71.39013691588117
118,2020-07-21,148,São Paulo,167801,1369.57791,8920,72.37186285824072
119,2020-07-22,149,São Paulo,171119,1396.65915,9025,73.22377379995767
120,2020-07-23,150,São Paulo,173710,1417.8066800000001,9098,73.81605474038948
121,2020-07-24,151,São Paulo,176190,1438.04823,9156,74.28663411771883
122,2020-07-25,152,São Paulo,179115,1461.92184,9205,74.68419255718676
123,2020-07-26,153,São Paulo,179777,1467.32503,9222,74.8221209953695
124,2020-07-27,154,São Paulo,182027,1485.6893400000001,9241,74.97627630863256
125,2020-07-28,155,São Paulo,185708,1515.73336,9318,75.601010999225
126,2020-07-29,156,São Paulo,188827,1541.19038,9396,76.2338591273576
127,2020-07-30,157,São Paulo,193684,1580.8328099999999,9470,76.83425350532956
128,2020-07-31,158,São Paulo,197560,1612.46841,9549,77.47521507100231
129,2020-08-01,159,São Paulo,199674,1629.7227,9619,78.04315569881362
130,2020-08-02,160,São Paulo,200444,1636.00738,9634,78.16485726191604
131,2020-08-03,161,São Paulo,200705,1638.1376400000001,9644,78.24599163731766
132,2020-08-04,162,São Paulo,203279,1659.14641,9702,78.71657101464703
133,2020-08-05,163,São Paulo,206102,1682.1875,9806,79.56036851882382
134,2020-08-06,164,São Paulo,209559,1710.40325,9909,80.39605258546045
135,2020-08-07,165,São Paulo,211469,1725.99252,10012,81.2317366520971
136,2020-08-08,166,São Paulo,213507,1742.6265,10085,81.82401759252889
137,2020-08-09,167,São Paulo,214094,1747.41755,10099,81.93760571809115
138,2020-08-10,168,São Paulo,214329,1749.3356,10107,82.00251321841243
139,2020-08-11,169,São Paulo,217244,1773.1275899999998,10221,82.92744509799086
140,2020-08-12,170,São Paulo,224140,1829.4121699999998,10311,83.65765447660539
141,2020-08-13,171,São Paulo,231203,1887.0597899999998,10453,84.80976260730833
142,2020-08-14,172,São Paulo,233987,1909.7825699999999,10563,85.7022407367261
143,2020-08-15,173,São Paulo,235519,1922.28663,10592,85.93753042539078
144,2020-08-16,174,São Paulo,235866,1925.11882,10605,86.04300511341287
145,2020-08-17,175,São Paulo,236163,1927.5429,10625,86.20527386421611
146,2020-08-18,176,São Paulo,237934,1941.9976600000002,10700,86.81378167972822
147,2020-08-19,177,São Paulo,240115,1959.7988,10761,87.30870136967808
148,2020-08-20,178,São Paulo,241764,1973.2578,10863,88.13627199877455
149,2020-08-21,179,São Paulo,242589,1979.99139,10936,88.72855293920634
150,2020-08-22,180,São Paulo,246492,2011.84735,11003,89.27215325439715
151,2020-08-23,181,São Paulo,247403,2019.2828600000003,11023,89.43442200520039
152,2020-08-24,182,São Paulo,247730,2021.9518,11031,89.49932950552167
153,2020-08-25,183,São Paulo,250171,2041.87504,11141,90.39180763493944
154,2020-08-26,184,São Paulo,252063,2057.3173899999997,11215,90.9922020129114
155,2020-08-27,185,São Paulo,254146,2074.31867,11278,91.50334857794157
156,2020-08-28,186,São Paulo,256511,2093.6216,11344,92.03883545559223
157,2020-08-29,187,São Paulo,256511,2093.6216,11344,92.03883545559223
158,2020-08-30,188,São Paulo,257778,2103.96275,11400,92.49318795784129
159,2020-08-31,189,São Paulo,257949,2105.35844,11408,92.55809545816257
160,2020-09-01,190,São Paulo,260991,2130.1869899999997,11478,93.12603608597388
161,2020-09-02,191,São Paulo,260991,2130.1869899999997,11478,93.12603608597388
